25-01-30--11-07-23

nb_nodes=20
bsz=512
dim_emb=128
dim_ff=512
dim_input_nodes=2
nb_layers_encoder=6
nb_layers_decoder=2
nb_heads=8
nb_epochs=10000
nb_batch_per_epoch=2500
nb_batch_eval=20
gpu_id=0
lr=0.0001
tol=0.001
batchnorm=True
max_len_PE=1000


Epoch: 0, epoch time: 8.487min, tot time: 0.006day, L_train: 4.629, L_base: 10.437, L_test: 4.691, gap_train(%): -100.000, update: True
Epoch: 1, epoch time: 9.585min, tot time: 0.013day, L_train: 4.047, L_base: 4.640, L_test: 4.034, gap_train(%): -100.000, update: True
Epoch: 2, epoch time: 9.130min, tot time: 0.019day, L_train: 3.970, L_base: 4.044, L_test: 3.960, gap_train(%): -100.000, update: True
Epoch: 3, epoch time: 8.133min, tot time: 0.025day, L_train: 3.938, L_base: 3.968, L_test: 3.927, gap_train(%): -100.000, update: True
Epoch: 4, epoch time: 7.931min, tot time: 0.030day, L_train: 3.924, L_base: 3.936, L_test: 3.918, gap_train(%): -100.000, update: True
Epoch: 5, epoch time: 8.457min, tot time: 0.036day, L_train: 3.919, L_base: 3.929, L_test: 3.906, gap_train(%): -100.000, update: True
Epoch: 6, epoch time: 34.278min, tot time: 0.060day, L_train: 3.919, L_base: 3.920, L_test: 3.907, gap_train(%): -100.000, update: False
Epoch: 7, epoch time: 9.339min, tot time: 0.066day, L_train: 3.904, L_base: 3.917, L_test: 3.896, gap_train(%): -100.000, update: True
Epoch: 8, epoch time: 8.693min, tot time: 0.072day, L_train: 3.904, L_base: 3.906, L_test: 3.894, gap_train(%): -100.000, update: True
Epoch: 9, epoch time: 8.435min, tot time: 0.078day, L_train: 3.902, L_base: 3.904, L_test: 3.890, gap_train(%): -100.000, update: True
Epoch: 10, epoch time: 8.325min, tot time: 0.084day, L_train: 3.906, L_base: 3.907, L_test: 3.888, gap_train(%): -100.000, update: True
Epoch: 11, epoch time: 59.812min, tot time: 0.126day, L_train: 3.900, L_base: 3.904, L_test: 3.884, gap_train(%): -100.000, update: True
Epoch: 12, epoch time: 10.393min, tot time: 0.133day, L_train: 3.895, L_base: 3.896, L_test: 3.888, gap_train(%): -100.000, update: True
Epoch: 13, epoch time: 13.320min, tot time: 0.143day, L_train: 3.897, L_base: 3.896, L_test: 3.886, gap_train(%): -100.000, update: False
Epoch: 14, epoch time: 13.343min, tot time: 0.152day, L_train: 3.894, L_base: 3.896, L_test: 3.884, gap_train(%): -100.000, update: True
Epoch: 15, epoch time: 13.324min, tot time: 0.161day, L_train: 3.891, L_base: 3.891, L_test: 3.884, gap_train(%): -100.000, update: False
Epoch: 16, epoch time: 13.277min, tot time: 0.170day, L_train: 3.888, L_base: 3.893, L_test: 3.881, gap_train(%): -100.000, update: True
Epoch: 17, epoch time: 13.315min, tot time: 0.180day, L_train: 3.887, L_base: 3.885, L_test: 3.881, gap_train(%): -100.000, update: False
Epoch: 18, epoch time: 13.330min, tot time: 0.189day, L_train: 3.886, L_base: 3.889, L_test: 3.879, gap_train(%): -100.000, update: True
Epoch: 19, epoch time: 13.442min, tot time: 0.198day, L_train: 3.893, L_base: 3.888, L_test: 3.879, gap_train(%): -100.000, update: False
Epoch: 20, epoch time: 13.370min, tot time: 0.208day, L_train: 3.887, L_base: 3.884, L_test: 3.878, gap_train(%): -100.000, update: False
